FID,id_estacio,Direccion,Aproximaci,Lat_Y,Lon_X,CreationDate,Creator,EditDate,Editor,x,y
1,1,Glorieta Olimpica,Concejal Alberto Jiménez-Becerril,37.412983,-5.988933,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666685,4496828.7
2,2,Gran Plaza,Calle Marquez de Pickman,37.381664,-5.965183,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664041.100000001,4492440.2
3,3,Puerta de la Barqueta,Puente de la Barqueta,37.40564,-5.998514,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667751.5,4495799.6
4,4,Calle Leonardo Da Vinci,Calle Thomas Alba Edison,37.410126,-6.005659,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668546.899999999,4496428.3
5,131,Calle Tabladilla,Calle Cardenal Ilundaín,37.364746,-5.981396,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665846,4490070.4
6,132,Calle Paez de Ribera,Paseo de la Palmera,37.36367,-5.984777,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666222.300000001,4489919.7
7,5,Camino de los Descubrimientos,Calle Thomás Alba Edison,37.411022,-6.001936,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668132.5,4496553.9
8,133,Avenida Santa Fe,Calle Virgen de la Oliva,37.374001,-6.004259,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668391.100000001,4491366.7
9,6,Camino de los Descubrimientos,Calle Isaac Newton,37.406677,-6.002848,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668234,4495944.9
10,134,Calle Virgen de Luján,Calle Asunción,37.374783,-5.998519,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667752.100000001,4491476.3
11,7,Calle Américo Vespucio,Calle de Jacques Cousteau,37.407516,-6.007413,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668742.199999999,4496062.5
12,135,Calle Virgen de Luján,Glorieta las Cigarreras,37.374657,-5.994916,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667351,4491458.6
13,136,Calle Asunción,Calle Virgen de la Antigua,37.373226,-5.99763,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667653.100000001,4491258.1
14,8,Calle Leonardo Da Vinci,Calle Gregor Mendel,37.401035,-6.009403,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668963.699999999,4495154.3
15,137,Avenida de la Borbolla,Calle Porvenir,37.373745,-5.985478,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666300.399999999,4491330.9
16,138,Calle Ramón Carande,Calle San Salvador,37.375852,-5.978978,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665576.800000001,4491626.1
17,9,Camino de los Descubrimientos,Calle Albert Einstein,37.402927,-6.004066,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668369.600000001,4495419.4
18,139,Avenida Diego Martinez Barrio,Avenida General García de la Herranz,37.37516,-5.975825,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665225.800000001,4491529.1
19,10,Calle José Diaz,Avenida Concejal Alberto Jiménez-Becerril,37.409096,-5.990961,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666910.699999999,4496283.9
20,140,Calle Felipe II,Avenida Diego Martínez Barrio,37.372375,-5.977351,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665395.699999999,4491138.9
21,11,Calle Avicena,Calle Avenzoar,37.405846,-5.993214,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667161.5,4495828.5
22,141,Calle Felipe II,Calle Ramón Carande,37.371716,-5.9819,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665902.100000001,4491046.6
23,12,Plaza Duquesa de Alba,Barqueta,37.403854,-5.99493,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667352.600000001,4495549.3
24,142,Calle Ramon de Carranza,Calle Asunción,37.371639,-5.997197,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667604.899999999,4491035.8
25,13,Calle Feria,Calle Resolana,37.403156,-5.991856,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667010.399999999,4495451.5
26,143,Calle Ramon de Carranza,Calle Virgen de la Oliva,37.371628,-6.003318,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668286.300000001,4491034.3
27,144,Avenida de la Palmera,Clinica de Fátima,37.369106,-5.988002,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666581.300000001,4490681
28,14,Avenida Sánchez Pizjuan,Facultad de medicina,37.406918,-5.989079,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666701.199999999,4495978.7
29,145,Avenida Reina Mercedes,Calle Profesor García González,37.360226,-5.986358,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666398.300000001,4489437.3
30,15,Calle Dr Marañon,Calle San Juan de Ribera,37.407227,-5.985341,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666285.100000001,4496022
31,146,Avenida Reina Mercedes,Calle Profesor García González,37.360119,-5.986358,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666398.300000001,4489422.3
32,16,Calle Manuel Villalobos,Calle Sor Francisca Dorotea,37.407028,-5.982795,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666001.699999999,4495994.1
33,147,Carretera de Carmona,Calle Maestro Solano,37.400829,-5.975233,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665159.899999999,4495125.4
34,17,Calle de Madreselva,Ronda de Pio XII,37.407173,-5.978907,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665568.899999999,4496014.4
35,18,Avenida Eduardo Dato,Calle Marqués del Nervión,37.382,-5.96814,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664370.300000001,4492487.3
36,148,Calle Tharsis,Calle Aorno,37.398758,-5.97321,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664934.699999999,4494835.2
37,19,Parlamento,Calle Don Fadrique,37.40324,-5.988962,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666688.199999999,4495463.3
38,149,Calle Arroyo,Calle Tena,37.397854,-5.975711,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665213.100000001,4494708.5
39,150,Calle San Juan Bosco,Calle Arroyo,37.396782,-5.978621,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665537,4494558.3
40,20,Calle San Juan de Ribera,Calle Fray Isidoro de Sevilla,37.404736,-5.986699,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666436.300000001,4495672.9
41,151,Calle Urquiza,Esquina calle Venecia,37.394619,-5.979927,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665682.399999999,4494255.3
42,152,Calle Samaniego,Calle Esperanza de la Trinidad,37.395821,-5.974481,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665076.199999999,4494423.7
43,21,Calle Manuel Villalobos,Calle Madre San Marcelo,37.405506,-5.981498,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665857.300000001,4495780.8
44,22,Avenida de Llanes,Avenida de Miraflores,37.405144,-5.974867,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665119.199999999,4495730.1
45,153,Avenida Reina Mercedes,Escuela de Arquitectura,37.362988,-5.986259,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666387.300000001,4489824.1
46,23,Parlamento,Calle San Juan de Ribera,37.403358,-5.987928,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666573.100000001,4495479.8
47,154,Avenida Kansas City,Calle Naranjito de Triana,37.394875,-5.968394,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664398.600000001,4494291.1
48,24,Calle León XIII,Calle Fray Isidoro de Sevilla,37.404034,-5.984668,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666210.199999999,4495574.5
49,155,Avenida Kansas City,Avenida El Greco,37.392906,-5.970766,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664662.600000001,4494015.2
50,25,Avenida de la Cruz Roja,Calle Albaida,37.403145,-5.981085,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665811.300000001,4495450
51,156,Avenida Kansas City,Baltasar Gracián,37.391483,-5.972649,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664872.199999999,4493815.9
52,26,Avenida de Miraflores,Calle Manuel Ródenas,37.402542,-5.977635,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665427.300000001,4495365.5
53,157,Avenida Cardenal Bueno Monreal,Avenida Ramón Carande,37.369778,-5.978165,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665486.300000001,4490775.2
54,27,Avenida de Llanes,Calle Escultor Francisco Buiza,37.403881,-5.972099,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664811,4495553.1
55,28,Calle Rafael Salgado,Calle Castillo Alcala de Guadaira,37.360332,-5.976723,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665325.800000001,4489452.1
56,158,Avenida Cardenal Bueno Monreal,Calle Bogota,37.368866,-5.981573,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665865.699999999,4490647.4
57,29,Carretera de Carmona,Avenida de Llanes,37.402534,-5.970082,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664586.5,4495364.3
58,159,Avenida Cardenal Bueno Monreal,Avenida Manuel Siurot,37.368046,-5.984859,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666231.5,4490532.6
59,30,Avenida Eduardo Dato,Detrás Estadio Sánchez Pizjuan,37.382519,-5.970812,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664667.800000001,4492560
60,160,Calle Arjona,Puente de Triana,37.387516,-6.001927,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668131.5,4493260.1
61,31,Avenida de Miraflores,Calle Albaida,37.400414,-5.979831,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665671.699999999,4495067.3
62,161,Avenida Alcalde Manuel del Valle,Calle Baltasar de Alcázar,37.399986,-5.969145,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664482.199999999,4495007.3
63,32,Calle Muñoz León,Calle Morera,37.402061,-5.986304,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666392.300000001,4495298.1
64,162,Avenida Solea,Calle Media Granaína,37.391525,-5.968482,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664408.399999999,4493821.7
65,33,Calle León XIII,Calle Antonio Pantión,37.401531,-5.983708,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666103.300000001,4495223.8
66,34,Plaza Pumarejo,Calle San Luis,37.400932,-5.988557,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666643.100000001,4495139.9
67,163,Calle Sinaí,Calle Baltazar Gracián,37.389927,-5.970793,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664665.600000001,4493597.8
68,35,Alameda de Hercules,Calle Peris Mencheta,37.400818,-5.993774,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667223.899999999,4495123.9
69,36,Calle San Vicente,Calle Guadalquivir,37.400543,-5.998318,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667729.699999999,4495085.3
70,164,Calle Luis Montoto,Calle El Greco,37.387638,-5.965657,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664093.899999999,4493277.1
71,165,Avenida de Andalucia,Centro Comercial Los Arcos,37.387638,-5.961011,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-663576.699999999,4493277.1
72,37,Alameda de Hércules,Calle Vulcano,37.398609,-5.99357,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667201.199999999,4494814.3
73,166,Ronda del Tamarguillo,Centro Comercial Los Arcos,37.388538,-5.959222,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-663377.600000001,4493403.2
74,38,Calle del Inca Garcilaso,Calle Juan Antonio de Vizarrón,37.392025,-6.011066,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-669148.800000001,4493891.8
75,167,Glorieta Bizco Amate,"Ramón y Cajal, Esq. Ronda",37.373352,-5.964932,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664013.199999999,4491275.8
76,168,Avenida Ramón y Cajal,Avenida de la Ciudad Jardín,37.375114,-5.967674,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664318.399999999,4491522.6
77,169,Avenida Ramón y Cajal,Calle Villegas Marmolejo,37.376698,-5.97307,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664919.100000001,4491744.5
78,39,Avenida de Torneo,Calle Curtidurías,37.397881,-5.998519,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667752.100000001,4494712.3
79,170,Plaza Antonio Aparicio Herrero, ,37.37899,-5.968885,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664453.199999999,4492065.6
80,40,Avenida Reina Mercedes,Glorieta Alcalde de Parias Merry,37.356396,-5.986558,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666420.600000001,4488900.9
81,171,Calle Alfonso Lasso de la Vega,Párroco Antonio González,37.366135,-5.974922,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665125.300000001,4490264.9
82,41,Plaza Calderón de la Barca,Calle Amargura,37.399551,-5.990966,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666911.300000001,4494946.3
83,172,Ronda Tamarguillo,Alfonso Laso de la Vega,37.36713,-5.971252,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664716.699999999,4490404.3
84,42,Plaza Cronista,Calle Divina Pastora,37.398811,-5.989523,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666750.699999999,4494842.6
85,173,Ronda Tamarguillo,Avenida de la Paz,37.370045,-5.968101,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664366,4490812.6
86,43,Ronda Capuchinos,Calle Maestro Quiroga,37.399139,-5.982737,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665995.199999999,4494888.6
