ccaa,provincia,poblacion
Andalucía,Almería,731792
Andalucía,Cádiz,1245960
Andalucía,Córdoba,776789
Andalucía,Granada,921338
Andalucía,Huelva,525835
Andalucía,Jaén,627190
Andalucía,Málaga,1695651
Andalucía,Sevilla,1947852
Aragón,Huesca,224264
Aragón,Teruel,134545
Aragón,Zaragoza,967452
Asturias,Asturias,1011792
Baleares,Baleares,1173008
Canarias,Las Palmas,1128539
Canarias,Santa Cruz de Tenerife,1044405
Cantabria,Cantabria,584507
Castilla y León,Ávila,158421
Castilla y León,Burgos,356055
Castilla y León,León,451706
Castilla y León,Palencia,159123
Castilla y León,Salamanca,327338
Castilla y León,Segovia,153663
Castilla y León,Soria,88747
Castilla y León,Valladolid,519361
Castilla y León,Zamora,168725
Castilla-La Mancha,Albacete,386464
Castilla-La Mancha,Ciudad Real,492591
Castilla-La Mancha,Cuenca,195516
Castilla-La Mancha,Guadalajara,265588
Castilla-La Mancha,Toledo,709403
Cataluña,Barcelona,5714730
Cataluña,Girona,786596
Cataluña,Lleida,439727
Cataluña,Tarragona,822309
Comunitat Valenciana,Alicante/Alacant,1881762
Comunitat Valenciana,Castellón/Castelló,587064
Comunitat Valenciana,Valencia/València,2589312
Extremadura,Badajoz,669943
Extremadura,Cáceres,389558
Galicia,A Coruña,1120134
Galicia,Lugo,326013
Galicia,Ourense,305223
Galicia,Pontevedra,944275
Madrid,Madrid,6751251
Murcia,Murcia,1518486
Navarra,Navarra,661537
País Vasco,Araba/Álava,333626
País Vasco,Bizkaia,1154334
País Vasco,Gipuzkoa,726033
La Rioja,La Rioja,319796
Ceuta,Ceuta,83517
Melilla,Melilla,86261