country,Cambio climático,Bulos y desinformación,Ciberatáques de otros países,La economía global,El contagio de enfernedades infecciosas
Canada,65,68,63,58,57
EE.UU.,54,70,71,63,57
Bélgica,75,68,68,60,61
Francia,81,74,75,63,68
Alemania,73,75,69,50,49
Grecia,86,79,67,93,82
Hungría,80,63,56,72,73
Italia,82,77,67,56,69
Países Bajos,77,75,75,53,60
Polonia,68,65,65,60,78
España,78,70,66,76,72
Suecia,70,64,68,37,44
Reino Unido,75,72,65,66,61
Israel,47,42,64,50,67
Australia,71,66,66,65,61
Japón,82,77,8,74,82
Malasia,44,65,52,49,60
Singapur,57,57,61,61,61
Corea del Sur,82,82,84,80,79
Mediana,75,70,67,61,61