ccaa,provincia,viviendas_turisticas,plazas
Andalucía,Almería,6187,29474
Andalucía,Cádiz,14183,71434
Andalucía,Córdoba,2472,12671
Andalucía,Granada,7386,38002
Andalucía,Huelva,2361,12586
Andalucía,Jaén,976,4776
Andalucía,Málaga,41039,205100
Andalucía,Sevilla,7591,34074
Aragón,Huesca,2625,14550
Aragón,Teruel,858,4929
Aragón,Zaragoza,1381,6446
Asturias,Asturias,7649,38366
Baleares,Baleares,24190,152881
Canarias,Las Palmas,27217,117099
Canarias,Santa Cruz de Tenerife,24069,99975
Cantabria,Cantabria,7496,39187
Castilla y León,Ávila,1328,8510
Castilla y León,Burgos,973,5989
Castilla y León,León,1538,8123
Castilla y León,Palencia,234,1344
Castilla y León,Salamanca,1454,7254
Castilla y León,Segovia,982,7192
Castilla y León,Soria,531,3283
Castilla y León,Valladolid,646,3181
Castilla y León,Zamora,558,3138
Castilla-La Mancha,Albacete,1096,6760
Castilla-La Mancha,Ciudad Real,844,4861
Castilla-La Mancha,Cuenca,933,5568
Castilla-La Mancha,Guadalajara,683,4350
Castilla-La Mancha,Toledo,1686,9980
Cataluña,Barcelona,18157,89733
Cataluña,Girona,20110,114386
Cataluña,Lleida,2830,17347
Cataluña,Tarragona,11773,68314
Comunitat Valenciana,Alicante/Alacant,41179,214284
Comunitat Valenciana,Castellón/Castelló,7273,38832
Comunitat Valenciana,Valencia/València,16293,77018
Extremadura,Badajoz,661,3222
Extremadura,Cáceres,1372,6664
Galicia,A Coruña,7156,37605
Galicia,Lugo,2679,14876
Galicia,Ourense,1120,6048
Galicia,Pontevedra,8721,45857
Madrid,Madrid,20760,78815
Murcia,Murcia,8406,42998
Navarra,Navarra,1679,8290
País Vasco,Araba/Álava,389,1970
País Vasco,Bizkaia,2811,12133
País Vasco,Gipuzkoa,2273,10020
La Rioja,La Rioja,1380,7793
Ceuta,Ceuta,57,207
Melilla,Melilla,50,215